Author,Author URL,Deep Or Simple,Quote,Tags,Sum of Quote Length,Sum of Tag Count
Elie Wiesel,http://quotes.toscrape.com/author/Elie-Wiesel,Deep,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.","activism, apathy, hate, indifference, inspirational, love, opposite, philosophy",222,8
Ernest Hemingway,http://quotes.toscrape.com/author/Ernest-Hemingway,Simple,There is no friend as loyal as a book.,"books, friends, novelist-quotes",38,3
Ernest Hemingway,http://quotes.toscrape.com/author/Ernest-Hemingway,Simple,There is nothing to writing. All you do is sit down at a typewriter and bleed.,"good, writing",78,2
Friedrich Nietzsche,http://quotes.toscrape.com/author/Friedrich-Nietzsche,Simple,"It is not a lack of love, but a lack of friendship that makes unhappy marriages.","friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage",80,6
Garrison Keillor,http://quotes.toscrape.com/author/Garrison-Keillor,Simple,Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.,"humor, religion",121,2
George Bernard Shaw,http://quotes.toscrape.com/author/George-Bernard-Shaw,Simple,Life isn't about finding yourself. Life is about creating yourself.,"inspirational, life, yourself",67,3
George Carlin,http://quotes.toscrape.com/author/George-Carlin,Simple,The reason I talk to myself is because I’m the only one whose answers I accept.,"humor, insanity, lies, lying, self-indulgence, truth",79,6
George Eliot,http://quotes.toscrape.com/author/George-Eliot,Simple,It is never too late to be what you might have been.,inspirational,52,1
George R.R. Martin,http://quotes.toscrape.com/author/George-R-R-Martin,Simple,"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.","books, mind",79,2
George R.R. Martin,http://quotes.toscrape.com/author/George-R-R-Martin,Simple,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.","read, readers, reading, reading-books",99,4
Harper Lee,http://quotes.toscrape.com/author/Harper-Lee,Simple,You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.,better-life-empathy,146,1
Haruki Murakami,http://quotes.toscrape.com/author/Haruki-Murakami,Simple,"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.","books, thought",108,2
Helen Keller,http://quotes.toscrape.com/author/Helen-Keller,Deep,"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",inspirational,151,1
J.D. Salinger,http://quotes.toscrape.com/author/J-D-Salinger,Deep,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.","authors, books, literature, reading, writing",239,5
J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,Deep,"Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.",integrity,250,1
J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,Simple,"Do not pity the dead, Harry. Pity the living, and, above all those who live without love.",live-death-love,89,1
J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,Simple,"It is our choices, Harry, that show what we truly are, far more than our abilities.","abilities, choices",83,2
J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,Simple,"It matters not what someone is born, but what they grow to be.",dumbledore,62,1
J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,Simple,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.","courage, friends",105,2
J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,Simple,"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",dumbledore,105,1
J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,Simple,"The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.",truth,121,1
J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,Simple,"To the well-organized mind, death is but the next great adventure.","death, inspirational",66,2
J.M. Barrie,http://quotes.toscrape.com/author/J-M-Barrie,Simple,To die will be an awfully big adventure.,"adventure, love",40,2
J.R.R. Tolkien,http://quotes.toscrape.com/author/J-R-R-Tolkien,Simple,Not all those who wander are lost.,"bilbo, journey, lost, quest, travel, wander",34,6
James Baldwin,http://quotes.toscrape.com/author/James-Baldwin,Simple,"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.",love,116,1
Jane Austen,http://quotes.toscrape.com/author/Jane-Austen,Deep,"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.","books, library, reading",201,3
Jane Austen,http://quotes.toscrape.com/author/Jane-Austen,Deep,"There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.","elizabeth-bennet, jane-austen",307,2
Jane Austen,http://quotes.toscrape.com/author/Jane-Austen,Simple,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.","humor, love, romantic, women",105,4
Jane Austen,http://quotes.toscrape.com/author/Jane-Austen,Simple,"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.","aliteracy, books, classic, humor",102,4
Jane Austen,http://quotes.toscrape.com/author/Jane-Austen,Simple,"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.","friendship, love",134,2
Jim Henson,http://quotes.toscrape.com/author/Jim-Henson,Simple,Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,humor,132,1
Jimi Hendrix,http://quotes.toscrape.com/author/Jimi-Hendrix,Simple,"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.","death, life",101,2
John Lennon,http://quotes.toscrape.com/author/John-Lennon,Simple,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.","beatles, connection, dreamers, dreaming, dreams, hope, inspirational, peace",115,8
Jorge Luis Borges,http://quotes.toscrape.com/author/Jorge-Luis-Borges,Simple,I have always imagined that Paradise will be a kind of library.,"books, library",63,2
Khaled Hosseini,http://quotes.toscrape.com/author/Khaled-Hosseini,Simple,But better to get hurt by the truth than comforted with a lie.,life,62,1
Madeleine L'Engle,http://quotes.toscrape.com/author/Madeleine-LEngle,Simple,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.","books, children, difficult, grown-ups, write, writers, writing",137,7
Marilyn Monroe,http://quotes.toscrape.com/author/Marilyn-Monroe,Deep,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.","friends, heartbreak, inspirational, life, love, sisters",1082,6
Marilyn Monroe,http://quotes.toscrape.com/author/Marilyn-Monroe,Simple,"A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.",attributed-no-source,96,1
Marilyn Monroe,http://quotes.toscrape.com/author/Marilyn-Monroe,Simple,"I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.",attributed-no-source,132,1
Marilyn Monroe,http://quotes.toscrape.com/author/Marilyn-Monroe,Simple,"If you can make a woman laugh, you can make her do anything.","girls, love",60,2
Marilyn Monroe,http://quotes.toscrape.com/author/Marilyn-Monroe,Simple,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.","be-yourself, inspirational",109,2
Marilyn Monroe,http://quotes.toscrape.com/author/Marilyn-Monroe,Simple,The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.,love,123,1
Mark Twain,http://quotes.toscrape.com/author/Mark-Twain,Simple,′Classic′ - a book which people praise and don't read.,"books, classic, reading",54,3
Mark Twain,http://quotes.toscrape.com/author/Mark-Twain,Simple,A lie can travel half way around the world while the truth is putting on its shoes.,"misattributed-mark-twain, truth",83,2
Mark Twain,http://quotes.toscrape.com/author/Mark-Twain,Simple,"Good friends, good books, and a sleepy conscience: this is the ideal life.","books, contentment, friends, friendship, life",74,5
Mark Twain,http://quotes.toscrape.com/author/Mark-Twain,Simple,I have never let my schooling interfere with my education.,education,58,1
Mark Twain,http://quotes.toscrape.com/author/Mark-Twain,Simple,Never tell the truth to people who are not worthy of it.,truth,56,1
Mark Twain,http://quotes.toscrape.com/author/Mark-Twain,Simple,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,"death, life",102,2
Martin Luther King Jr.,http://quotes.toscrape.com/author/Martin-Luther-King-Jr,Simple,Only in the darkness can you see the stars.,"hope, inspirational",43,2
Mother Teresa,http://quotes.toscrape.com/author/Mother-Teresa,Simple,"If you judge people, you have no time to love them.",attributed-no-source,51,1
Mother Teresa,http://quotes.toscrape.com/author/Mother-Teresa,Simple,Not all of us can do great things. But we can do small things with great love.,"misattributed-to-mother-teresa, paraphrased",78,2
Pablo Neruda,http://quotes.toscrape.com/author/Pablo-Neruda,Deep,"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.","love, poetry",317,2
Ralph Waldo Emerson,http://quotes.toscrape.com/author/Ralph-Waldo-Emerson,Deep,Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.,"life, regrets",266,2
Ralph Waldo Emerson,http://quotes.toscrape.com/author/Ralph-Waldo-Emerson,Simple,For every minute you are angry you lose sixty seconds of happiness.,happiness,67,1
Stephenie Meyer,http://quotes.toscrape.com/author/Stephenie-Meyer,Simple,"He's like a drug for you, Bella.","drug, romance, simile",32,3
Steve Martin,http://quotes.toscrape.com/author/Steve-Martin,Simple,"A day without sunshine is like, you know, night.","humor, obvious, simile",48,3
Suzanne Collins,http://quotes.toscrape.com/author/Suzanne-Collins,Simple,"Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.",humor,85,1
Suzanne Collins,http://quotes.toscrape.com/author/Suzanne-Collins,Simple,You don’t forget the face of the person who was your last hope.,the-hunger-games,63,1
Terry Pratchett,http://quotes.toscrape.com/author/Terry-Pratchett,Simple,"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.","humor, open-mind, thinking",123,3
Thomas A. Edison,http://quotes.toscrape.com/author/Thomas-A-Edison,Simple,"I have not failed. I've just found 10,000 ways that won't work.","edison, failure, inspirational, paraphrased",63,4
W.C. Fields,http://quotes.toscrape.com/author/W-C-Fields,Simple,I am free of all prejudice. I hate everyone equally.,"humor, sinister",52,2
William Nicholson,http://quotes.toscrape.com/author/William-Nicholson,Simple,We read to know we're not alone.,"misattributed-to-c-s-lewis, reading",32,2
